,Census_tract,Value_count,change_median,zestimate_median
0,13057090101,1441,1.7534722222222223,398400.0
1,13057090102,1321,1.7541673157812745,451800.0
2,13057090103,739,1.5570384493168097,349500.0
3,13057090201,875,1.685756786909632,395700.0
4,13057090202,2136,1.4473046981887028,432600.0
5,13057090301,359,1.9500594530321047,598600.0
6,13057090302,857,1.8605539637058264,469800.0
7,13057090303,1365,1.6067048242027802,502600.0
8,13057090401,175,2.31103515625,277800.0
9,13057090402,1686,1.749644401157181,399250.0
10,13057090503,1074,2.2887570054562802,745100.0
11,13057090504,425,2.0736283907811544,571300.0
12,13057090505,679,2.05317577548006,583300.0
13,13057090506,1476,1.882163277335691,515250.0
14,13057090507,751,2.2222222222222223,524600.0
15,13057090603,790,1.8642588403079676,488750.0
16,13057090604,616,2.1574147198692017,435650.0
17,13057090605,703,1.9061971830985915,329000.0
18,13057090606,808,1.9928661478658294,408800.0
19,13057090703,378,1.7666857058927585,335300.0
20,13057090704,224,1.7087687926081725,377000.0
21,13057090705,146,2.6065741877976607,443550.0
22,13057090706,452,1.8104885585221089,518250.0
23,13057090707,107,1.5412156536219817,357200.0
24,13057090708,64,2.3742540346305123,348700.0
25,13057090709,627,1.4334683702087878,440300.0
26,13057090710,279,1.6962955298013245,538000.0
27,13057090805,899,1.6148325358851676,477000.0
28,13057090806,115,1.9680763534638803,536500.0
29,13057090807,429,1.7598574292715528,438200.0
30,13057090808,649,1.863802559414991,612500.0
31,13057090809,767,2.384737678855326,657900.0
32,13057090810,1041,2.0103074772886096,588900.0
33,13057090905,164,1.8211274496697196,322950.0
34,13057090906,255,1.409021794221997,397500.0
35,13057090907,989,1.565483870967742,400100.0
36,13057090908,395,1.5499185478240634,379400.0
37,13057090909,68,2.034170441587091,516950.0
38,13057090910,449,1.5833695180199738,572200.0
39,13057090911,201,1.4036556439235384,576600.0
40,13057090912,691,1.418736119523521,416600.0
41,13057091001,329,1.5338042381432897,432200.0
42,13057091006,223,1.752298539751217,380400.0
43,13057091007,738,1.8505250415779495,480400.0
44,13057091009,591,1.677297895902547,436900.0
45,13057091010,393,2.0453143077516387,582800.0
46,13057091011,73,1.7282253908263183,596400.0
47,13057091012,304,1.761691852428446,336850.0
48,13057091013,192,1.6262594733156315,406400.0
49,13057091014,117,1.2493045897079276,294900.0
50,13057091101,939,1.780390510182658,386000.0
51,13057091104,925,1.677681748856126,365000.0
52,13057091105,598,1.4596215161335921,357700.0
53,13057091106,579,1.610583836640782,397600.0
54,13057091107,115,1.3226675648366453,365400.0
55,13057091108,406,1.66519801443394,338200.0
56,13063040202,573,2.642221280203476,200800.0
57,13063040203,546,0.816654037758803,250350.0
58,13063040204,545,1.286144578313253,279100.0
59,13063040302,553,2.216421240517626,164700.0
60,13063040306,23,2.800772200772201,185300.0
61,13063040307,195,1.545994065281899,210700.0
62,13063040308,99,2.0441988950276246,176100.0
63,13063040309,214,1.0742407986192097,180250.0
64,13063040310,487,1.620299602568022,164900.0
65,13063040407,739,1.4685990338164252,205700.0
66,13063040409,38,0.955717464952443,270000.0
67,13063040410,920,1.5961987740848855,268500.0
68,13063040414,180,2.0934657418938745,173800.0
69,13063040416,239,1.1084538375973303,189800.0
70,13063040417,237,1.6548940464177595,199100.0
71,13063040418,94,1.7312884468177332,211450.0
72,13063040419,277,1.6715715126545028,317500.0
73,13063040420,548,1.319334235922449,276550.0
74,13063040421,861,1.2205488621151273,291100.0
75,13063040423,212,1.5696759137312504,209000.0
76,13063040425,599,0.9399477806788512,203500.0
77,13063040426,38,1.15064047334933,206650.0
78,13063040427,168,1.43855317554336,211500.0
79,13063040509,375,1.1959521619135236,238500.0
80,13063040510,37,1.66270783847981,176500.0
81,13063040512,506,1.4870920011130226,236800.0
82,13063040513,347,1.436478454680535,243400.0
83,13063040518,191,1.3717026378896884,207400.0
84,13063040519,17,2.814814814814815,405100.0
85,13063040522,414,1.7499421628091774,211650.0
86,13063040523,193,1.325068870523416,233900.0
87,13063040525,260,1.517129529672272,234050.0
88,13063040527,172,1.455915155769656,206150.0
89,13063040528,82,1.5267407993966233,229000.0
90,13063040529,232,1.2425144986485424,189450.0
91,13063040531,158,1.7558278359681538,188650.0
92,13063040532,297,1.1754537597234227,220400.0
93,13063040533,100,1.5290896262944313,208300.0
94,13063040534,140,1.7418043244907557,244400.0
95,13063040535,81,1.339443073669369,264000.0
96,13063040537,677,1.5443860191772347,238000.0
97,13063040538,281,1.6558300823580407,214700.0
98,13063040606,617,1.3269088213491476,284500.0
99,13063040609,697,1.524432809773124,237800.0
100,13063040614,567,2.0612244897959187,476900.0
101,13063040615,189,1.492822966507177,287900.0
102,13063040617,20,-4.357236418788491,213600.0
103,13063040623,238,1.2160356976432212,236900.0
104,13063040624,631,1.5979381443298968,272300.0
105,13063040625,53,1.052170100832968,220800.0
106,13063040626,304,1.3702971432115447,282500.0
107,13063040627,501,1.3987556561085972,282700.0
108,13063040628,548,1.6268939735552097,324250.0
109,13063040629,68,2.088188682699128,172850.0
110,13063040630,484,2.0486493140014916,207300.0
111,13063040631,1256,1.320352838896442,310300.0
112,13063040632,127,1.3561904761904762,272800.0
113,13063040633,442,1.4706662137809354,217450.0
114,13063040634,166,1.6588824365711097,232900.0
115,13063040635,252,1.8568858410536504,204000.0
116,13063040636,1131,1.4311485267588695,336900.0
117,13063040637,47,1.25531914893617,250500.0
118,13063040638,513,1.2080207732256203,307700.0
119,13063040639,759,1.2848101265822784,337100.0
120,13063980000,3,1.7291748914330831,738500.0
121,13067030104,279,1.429592566118656,316300.0
122,13067030107,538,1.4784778803123104,397200.0
123,13067030108,981,1.6855654305853511,504100.0
124,13067030109,423,1.692859112213951,392400.0
125,13067030110,266,1.6269886932681232,397950.0
126,13067030111,703,1.5466666666666666,380600.0
127,13067030235,869,1.8402649981597348,457100.0
128,13067030236,611,1.7170531259172297,584200.0
129,13067030240,108,1.890241042131585,435800.0
130,13067030241,458,1.8862863129483625,464550.0
131,13067030242,247,1.205711263881544,311100.0
132,13067030243,537,1.89519023689878,305500.0
133,13067030244,731,1.7320984584783692,545100.0
134,13067030245,82,1.9518651063771633,590600.0
135,13067030246,263,1.995741893219784,265300.0
136,13067030247,124,1.5501393791753035,380250.0
137,13067030248,260,1.6783318655707373,446850.0
138,13067030249,23,1.5316742081447965,402300.0
139,13067030250,352,2.128910447252153,701000.0
140,13067030251,293,2.249395926820849,562500.0
141,13067030252,898,1.986034540328524,634350.0
142,13067030253,607,2.0774564183835182,626000.0
143,13067030255,280,1.5522768157841027,355300.0
144,13067030256,827,2.0264505119453924,701600.0
145,13067030257,71,1.136275146009085,378600.0
146,13067030258,316,2.027985700023673,334550.0
147,13067030259,242,2.089869159522088,319150.0
148,13067030261,96,1.7588480693820305,495150.0
149,13067030262,354,1.8502101431820388,421150.0
150,13067030263,336,1.8080087604907469,388200.0
151,13067030264,122,1.851012463368395,648250.0
152,13067030265,211,1.9003364845377344,512200.0
153,13067030266,358,1.5267676725897439,502000.0
154,13067030267,361,1.4855761733977857,533000.0
155,13067030268,553,1.696750902527076,560000.0
156,13067030269,513,1.7218264840182649,373500.0
157,13067030270,211,1.9586799034075664,405000.0
158,13067030271,237,1.7209302325581397,419600.0
159,13067030272,228,1.7123835627650577,340950.0
160,13067030274,268,1.8026548294723632,362750.0
161,13067030276,16,1.6606821245120598,495700.0
162,13067030277,588,1.6808538401964457,504300.0
163,13067030278,290,1.993854447439353,277950.0
164,13067030319,599,2.17921967769296,659900.0
165,13067030322,513,2.1739130434782608,454700.0
166,13067030324,215,1.957637997432606,373500.0
167,13067030326,508,2.0940185309219306,557400.0
168,13067030327,372,2.329752226707923,561550.0
169,13067030329,251,1.9012345679012344,445600.0
170,13067030331,411,2.421767475552336,582100.0
171,13067030332,216,2.329266049197105,627850.0
172,13067030334,263,2.434570906877662,587600.0
173,13067030335,360,2.4608709968975533,581600.0
174,13067030337,274,2.655846581592197,859750.0
175,13067030340,256,2.3389800471408497,611800.0
176,13067030341,166,1.9296440345077508,388700.0
177,13067030342,702,2.2685125680176665,568250.0
178,13067030343,452,2.584871510601039,685000.0
179,13067030344,16,1.513947294258069,266750.0
180,13067030345,16,1.679015014888329,491550.0
181,13067030346,490,2.085202327169772,319650.0
182,13067030347,184,2.016955182507805,304900.0
183,13067030348,533,1.935842485936244,441300.0
184,13067030349,150,2.0738003513848877,346950.0
185,13067030350,345,1.8584497465694152,432400.0
186,13067030351,16,2.3363119470397766,565300.0
187,13067030352,485,2.399020807833537,1088700.0
188,13067030353,103,1.6530309862784258,978700.0
189,13067030354,211,1.8940818046282493,456400.0
190,13067030356,79,1.617104939788646,416000.0
191,13067030357,92,2.5950828784515583,597100.0
192,13067030358,309,2.3730684326710816,524400.0
193,13067030359,296,2.1669351265104178,482850.0
194,13067030360,151,2.2673529002642927,684300.0
195,13067030361,244,2.2416623985821973,348350.0
196,13067030362,400,2.106645129227661,417100.0
197,13067030363,351,2.0648967551622417,381900.0
198,13067030364,42,2.008277444034783,424500.0
199,13067030365,87,2.52345587325164,759200.0
200,13067030366,178,2.208229182426051,678100.0
201,13067030367,22,2.57077835762558,874000.0
202,13067030368,178,2.0596937028578646,471100.0
203,13067030369,102,2.4206945417095054,965600.0
204,13067030370,363,2.7468718857269403,734600.0
205,13067030405,75,1.5591929174387482,441800.0
206,13067030407,344,2.015456596954306,343400.0
207,13067030408,316,1.927220105550119,449400.0
208,13067030409,51,2.5107895404925107,496400.0
209,13067030410,211,2.4506675914687013,494800.0
210,13067030411,61,1.3849765258215962,254000.0
211,13067030412,157,1.3039934800325998,212800.0
212,13067030413,87,1.3297872340425532,230300.0
213,13067030414,2,4.169565905904798,373750.0
214,13067030505,244,2.3167225145890082,339350.0
215,13067030506,318,2.1118362726672704,327500.0
216,13067030507,293,2.318190315946906,355000.0
217,13067030508,281,2.1521447721179627,394700.0
218,13067030509,181,1.7882895875396594,487900.0
219,13067030510,268,1.9265398851720574,388750.0
220,13067030511,447,1.7417307049782826,318000.0
221,13067030602,697,2.376116681859617,558000.0
222,13067030603,322,1.5359651210837262,440100.0
223,13067030604,168,1.6098893524730276,274500.0
224,13067030700,496,1.9288436644430316,438550.0
225,13067030800,235,1.5234675557835342,319000.0
226,13067030906,319,2.0107238605898123,457000.0
227,13067030907,288,2.1089351603440654,408550.0
228,13067030908,10,1.9470406659711545,308450.0
229,13067030909,313,2.242599000384468,306900.0
230,13067030910,124,1.664051453960369,200300.0
231,13067030911,56,1.7881996157073219,387850.0
232,13067030912,22,2.563416014609822,461150.0
233,13067031001,326,2.934807982264617,245400.0
234,13067031004,30,2.250851751841851,287400.0
235,13067031005,312,2.2518145372750737,258000.0
236,13067031006,279,1.813793103448276,296900.0
237,13067031007,232,1.7269780172608096,272950.0
238,13067031101,336,1.7426878183378274,362400.0
239,13067031110,143,1.947945653953184,464900.0
240,13067031111,52,1.7454265600822465,259600.0
241,13067031112,155,1.910551454624403,518500.0
242,13067031113,76,1.4765296777787218,409900.0
243,13067031114,126,1.6737751381608077,289750.0
