,County,Value_count,change_median,zestimate_median
0,Cherokee County,34181,1.762689393939394,434800.0
1,Clayton County,22562,1.4512397908066115,248300.0
2,Cobb County,51075,1.8657937806873977,401700.0
3,DeKalb County,41264,2.619364039757686,345100.0
4,Douglas County,21281,1.4134495641344955,309700.0
5,Fayette County,20354,2.104425741925101,446450.0
6,Forsyth County,30569,1.8506056527590848,544300.0
7,Fulton County,66811,1.8741113744075828,468300.0
8,Gwinnett County,66856,1.5449606904731827,391000.0
9,Henry County,35350,1.2163680223303488,319700.0
10,Rockdale County,14772,1.288968066580956,301000.0
