,Super_district,Value_count,Value_median
0,Airport,1667,1.3992537313432836
1,Atlanta-DeKalb,1560,2.7320911690730485
2,Buckhead,3501,2.508767197194497
3,CBD Atlanta,78,1.8069383406683581
4,Cent Gwinnett,15492,1.5789497298825648
5,Chamblee,7621,2.973209814722084
6,Cumberland,3254,1.7583608149392032
7,Cumming,16391,1.9451573479987776
8,Decatur,1553,3.379113760041461
9,E Cent Cherokee,15360,1.9079713257899793
10,E Douglas,9199,1.4299332697807436
11,E Fayette,9771,1.894167450611477
12,E Gwinnett,11263,1.307048339184445
13,E Henry,10431,1.2300177619893429
14,Lilburn,5972,1.6542789250568188
15,Marietta,3887,1.990659747961453
16,N Cherokee,3501,1.7168141592920354
17,N Forsyth,9139,1.6535695492018945
18,N Fulton,14075,2.258490971625108
19,N Gwinnett,17651,1.6339751303650218
20,N Henry,7220,1.27964952733203
21,N Rockdale,7042,1.3247699572396807
22,NE Atlanta,2490,2.3866277768374045
23,NE Clayton,6721,1.470125786163522
24,NE Cobb,11513,2.246489859594384
25,NE DeKalb,7252,3.104035769332718
26,NW Atlanta,3559,1.814448292924295
27,NW Cobb,14415,1.800775017095965
28,NW DeKalb,3163,3.129677507143829
29,Norcross,6848,1.9779517156872624
30,Riverdale,4560,1.491991204298498
31,Roswell,7441,2.1130778842149103
32,S Clayton,9610,1.4271244993979555
33,S Cobb,8000,1.8285725562290116
34,S DeKalb,9889,2.1867321867321867
35,S Forsyth,5040,1.8863220885987313
36,S Fulton,8968,1.4972894752306516
37,S Henry,17703,1.187666539779216
38,S Rockdale,7730,1.254181474427956
39,SE Atlanta,4210,1.5176312284380264
40,SE DeKalb,7396,2.229753149914716
41,SW Atlanta,4466,1.3796624465247018
42,SW Cobb,10000,1.6331333216437143
43,SW DeKalb,2852,3.4368646382071564
44,Sandy Springs,4986,2.4592109789832053
45,Shannon,8287,1.2268640930724484
46,Snellville,9638,1.3472183166006535
47,Tri-Cities,4719,1.4285388648279007
48,W Cherokee,5592,1.651129693095929
49,W Douglas,12082,1.403046080364244
50,W Fayette,10583,2.27721604314122
51,Woodstock,9734,1.637789585071077
