,Super_district,Value_count,change_median,zestimate_median
0,Airport,1667,1.3992537313432836,234100.0
1,Atlanta-DeKalb,1560,2.7320911690730485,565500.0
2,Buckhead,3501,2.508767197194497,1328400.0
3,CBD Atlanta,78,1.8069383406683581,462150.0
4,Cent Gwinnett,15492,1.5789497298825648,373200.0
5,Chamblee,7621,2.973209814722084,627700.0
6,Cumberland,3254,1.7583608149392032,424300.0
7,Cumming,16391,1.9451573479987776,562600.0
8,Decatur,1553,3.379113760041461,738700.0
9,E Cent Cherokee,15360,1.9079713257899793,473600.0
10,E Douglas,9199,1.4299332697807436,277400.0
11,E Fayette,9771,1.894167450611477,388300.0
12,E Gwinnett,11263,1.307048339184445,392100.0
13,E Henry,10431,1.2300177619893429,358700.0
14,Lilburn,5972,1.6542789250568188,372100.0
15,Marietta,3887,1.990659747961453,357000.0
16,N Cherokee,3501,1.7168141592920354,401600.0
17,N Forsyth,9139,1.6535695492018945,470100.0
18,N Fulton,14075,2.258490971625108,800100.0
19,N Gwinnett,17651,1.6339751303650218,457200.0
20,N Henry,7220,1.27964952733203,277200.0
21,N Rockdale,7042,1.3247699572396807,282950.0
22,NE Atlanta,2490,2.3866277768374045,961250.0
23,NE Clayton,6721,1.470125786163522,218800.0
24,NE Cobb,11513,2.246489859594384,510700.0
25,NE DeKalb,7252,3.104035769332718,382800.0
26,NW Atlanta,3559,1.814448292924295,243900.0
27,NW Cobb,14415,1.800775017095965,439400.0
28,NW DeKalb,3163,3.129677507143829,586900.0
29,Norcross,6848,1.9779517156872624,369100.0
30,Riverdale,4560,1.491991204298498,225550.0
31,Roswell,7441,2.1130778842149103,591900.0
32,S Clayton,9610,1.4271244993979555,288300.0
33,S Cobb,8000,1.8285725562290116,310400.0
34,S DeKalb,9889,2.1867321867321867,268800.0
35,S Forsyth,5040,1.8863220885987313,694600.0
36,S Fulton,8968,1.4972894752306516,372800.0
37,S Henry,17703,1.187666539779216,319600.0
38,S Rockdale,7730,1.254181474427956,313700.0
39,SE Atlanta,4210,1.5176312284380264,256950.0
40,SE DeKalb,7396,2.229753149914716,269700.0
41,SW Atlanta,4466,1.3796624465247018,290950.0
42,SW Cobb,10000,1.6331333216437143,334750.0
43,SW DeKalb,2852,3.4368646382071564,263850.0
44,Sandy Springs,4986,2.4592109789832053,857550.0
45,Shannon,8287,1.2268640930724484,285000.0
46,Snellville,9638,1.3472183166006535,351900.0
47,Tri-Cities,4719,1.4285388648279007,269400.0
48,W Cherokee,5592,1.651129693095929,446850.0
49,W Douglas,12082,1.403046080364244,338100.0
50,W Fayette,10583,2.27721604314122,506400.0
51,Woodstock,9734,1.637789585071077,403900.0
